name of file,donor,islet,glucose,cell number,cell type,R64 file,npy file
1729_beta,20210923,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\beta\beta16_38.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1729_beta.npy
1730_beta,20210923,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\beta\beta16_39.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1730_beta.npy
1731_beta,20210923,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\beta\beta16_40.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1731_beta.npy
1732_beta,20210923,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\beta\beta16_41.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1732_beta.npy
1733_beta,20210923,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\beta\beta16_42.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1733_beta.npy
1734_beta,20210923,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\beta\beta16_43.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1734_beta.npy
1735_beta,20210923,P2H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\beta\beta16_44.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1735_beta.npy
1736_alpha,20210923,P2H1,2 mM,alpha2,alpha,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\alpha\alpha2_1.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1736_alpha.npy
1737_alpha,20210923,P2H1,2 mM,alpha2,alpha,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\alpha\alpha2_2.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1737_alpha.npy
1738_alpha,20210923,P2H1,2 mM,alpha2,alpha,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\alpha\alpha2_3.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1738_alpha.npy
1739_alpha,20210923,P2H1,2 mM,alpha2,alpha,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\alpha\alpha2_4.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1739_alpha.npy
1740_alpha,20210923,P2H1,1 mM,alpha16,alpha,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\alpha\alpha16_1.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1740_alpha.npy
1741_alpha,20210923,P2H1,1 mM,alpha16,alpha,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\alpha\alpha16_2.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1741_alpha.npy
1742_alpha,20210923,P2H1,1 mM,alpha16,alpha,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\alpha\alpha16_3.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1742_alpha.npy
1743_alpha,20210923,P2H1,1 mM,alpha16,alpha,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H1\alpha\alpha16_4.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1743_alpha.npy
1744_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_1.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1744_beta.npy
1745_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_2.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1745_beta.npy
1746_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_3.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1746_beta.npy
1747_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_4.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1747_beta.npy
1748_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_5.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1748_beta.npy
1749_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_6.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1749_beta.npy
1750_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_7.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1750_beta.npy
1751_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_8.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1751_beta.npy
1752_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_9.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1752_beta.npy
1753_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_10.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1753_beta.npy
1754_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_11.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1754_beta.npy
1755_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_12.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1755_beta.npy
1756_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_13.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1756_beta.npy
1757_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_14.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1757_beta.npy
1758_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_15.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1758_beta.npy
1759_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_16.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1759_beta.npy
1760_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_17.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1760_beta.npy
1761_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_1.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1761_beta.npy
1762_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_2.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1762_beta.npy
1763_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_3.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1763_beta.npy
1764_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_4.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1764_beta.npy
1765_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_5.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1765_beta.npy
1766_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_6.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1766_beta.npy
1767_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_7.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1767_beta.npy
1768_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_8.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1768_beta.npy
1769_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_9.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1769_beta.npy
1770_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_10.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1770_beta.npy
1771_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_11.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1771_beta.npy
1772_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_12.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1772_beta.npy
1773_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_13.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1773_beta.npy
1774_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_14.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1774_beta.npy
1775_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_15.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1775_beta.npy
1776_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_16.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1776_beta.npy
1777_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_17.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1777_beta.npy
1778_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_18.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1778_beta.npy
1779_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_19.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1779_beta.npy
1780_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_20.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1780_beta.npy
1781_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_21.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1781_beta.npy
1782_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_22.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1782_beta.npy
1783_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_23.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1783_beta.npy
1784_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_24.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1784_beta.npy
1785_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_25.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1785_beta.npy
1786_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_26.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1786_beta.npy
1787_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_27.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1787_beta.npy
1788_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_28.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1788_beta.npy
1789_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_29.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1789_beta.npy
1790_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_30.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1790_beta.npy
1791_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_31.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1791_beta.npy
1792_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_32.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1792_beta.npy
1793_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_33.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1793_beta.npy
1794_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_34.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1794_beta.npy
1795_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_35.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1795_beta.npy
1796_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_36.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1796_beta.npy
1797_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_37.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1797_beta.npy
1798_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_38.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1798_beta.npy
1799_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_39.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1799_beta.npy
1800_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_40.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1800_beta.npy
1801_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_41.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1801_beta.npy
1802_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_42.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1802_beta.npy
1803_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_43.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1803_beta.npy
1804_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_44.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1804_beta.npy
1805_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_45.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1805_beta.npy
1806_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_46.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1806_beta.npy
1807_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_47.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1807_beta.npy
1808_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_48.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1808_beta.npy
1809_beta,20210923,P2H2,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta2_49.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1809_beta.npy
1810_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_18.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1810_beta.npy
1811_beta,20210923,P2H2,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210923\P2H2\beta\beta16_19.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\1811_beta.npy
